Date,Close,High,Low,Open,Volume
2015-01-02,26.074962615966797,26.395926202137996,26.039687067815283,26.283637790337135,28951268
2015-01-05,25.531414031982422,26.05111497609867,25.49117052492575,25.99795173534796,41196796
2015-01-06,24.93967056274414,25.64593794847718,24.894459096025084,25.58755777971531,57998800
2015-01-07,24.896944046020508,25.202205556277463,24.824901037246317,25.19008213967972,41301082
2015-01-08,24.975444793701172,25.01519226703752,24.39512864215862,24.742423948415887,67071641
2015-01-09,24.65199851989746,25.08673673664131,24.583433464856444,25.078788762580785,41427428
2015-01-12,24.472139358520508,24.642359422252323,24.224212738144885,24.59088574161689,46535413
2015-01-13,24.652494430541992,24.99034794407595,24.464189023106176,24.78465468051605,47409807
2015-01-14,24.885517120361328,25.00277160186067,24.494498435404136,24.576479265830024,44714427
2015-01-15,24.931224822998047,25.124498190496986,24.730995552799406,25.11903229537012,54316718
2015-01-16,25.24374008178711,25.24920597680009,24.8422875778659,24.842785514059713,45965854
2015-01-20,25.18511199951172,25.46334429130835,25.141190987862515,25.38881920996693,44640224
2015-01-21,25.73859977722168,25.800208929407713,25.150333766579397,25.202503036638518,45374234
2015-01-22,26.550941467285156,26.64733013497606,25.821077208594602,25.90951410103029,53538588
2015-01-23,26.827186584472656,26.937487053085505,26.481879238422092,26.610563435223717,45634948
2015-01-26,26.59168243408203,26.77998784275595,26.31643204265648,26.756636155183394,30874534
2015-01-27,25.767913818359375,26.367607664739854,25.746052138092043,26.33133624268456,38080263
2015-01-28,25.339134216308594,25.98453743060079,25.339134216308594,25.974103576998196,33676205
2015-01-29,25.37192726135254,25.39329100546423,24.901911587256095,25.38882098267705,83727244
2015-01-30,26.557401657104492,26.823214074894498,25.61339440686337,25.63028812844617,112127002
2015-02-02,26.257307052612305,26.481880083421103,25.763937793964395,26.418780922967134,56996054
2015-02-03,26.29506492614746,26.501752151376913,25.99795097083776,26.23345577715605,40773638
2015-02-04,25.97311019897461,26.46558429923668,25.89908115073781,26.295065859467172,33273101
2015-02-05,26.212589263916016,26.258300567214366,25.93982095428318,26.024285757729402,36995292
2015-02-06,26.382511138916016,26.69055499967866,26.154458258482332,26.215571375055735,35270570
2015-02-09,26.225011825561523,26.432197002437963,26.1350830249429,26.233457735996225,25355423
