Date,Close,High,Low,Open,Volume
2015-01-02,40.15248107910156,40.719218297593315,39.96357085670676,40.06661309398153,27913900
2015-01-05,39.78325271606445,40.12672798912434,39.71455569605995,39.8175979504125,39673900
2015-01-06,39.199337005615234,40.143898001265825,39.1048802509194,39.82618250646028,36447900
2015-01-07,39.697383880615234,39.89488291178394,39.061952784794954,39.48271059338998,29114100
2015-01-08,40.86518859863281,41.00257930927127,40.11812681426451,40.143886548867684,29645200
2015-01-09,40.5217170715332,41.06269451971817,40.27269861818766,40.88236979554101,23944200
2015-01-12,40.015098571777344,40.822272210881025,39.80901405481997,40.719226676748,23651900
2015-01-13,39.80900955200195,41.13998309862355,39.551402297116155,40.332812826473656,35270600
2015-01-14,39.46552276611328,39.70595899257047,39.173567064857124,39.46552276611328,29719600
2015-01-15,39.0533561706543,39.82618115961763,38.993247924363125,39.68879041443012,32750800
2015-01-16,39.70595932006836,39.74030454499986,38.78715494551802,38.90737469756483,35695300
2015-01-20,39.834774017333984,40.05803606684968,39.13064590853099,39.75749150414076,36161900
2015-01-21,39.43117904663086,39.62009254554055,39.053355324465144,39.44835329886389,39081100
2015-01-22,40.47019958496094,40.47878507315939,39.56857264405588,39.8261798735068,35898000
2015-01-23,40.51314926147461,40.69347406433563,40.18684489749639,40.66771431411403,26211600
2015-01-26,40.36716079711914,40.470206326588006,39.7059699991253,40.3585753074905,42525500
2015-01-27,36.63184356689453,37.09553857707577,36.15956306792647,36.88086532521266,169164000
2015-01-28,35.369564056396484,36.74347484376044,35.34380431419376,36.700540848204604,84507100
2015-01-29,36.073692321777344,36.16814907806329,35.02608906502921,35.14630556370081,63585300
2015-01-30,34.69119644165039,35.70445438328285,34.648259173687634,35.67869136737447,78004900
2015-02-02,35.44683837890625,35.52412086333452,34.54521157767857,34.85434151539163,50352500
2015-02-03,35.72163009643555,36.005000379427635,35.24934956710282,35.747393115760154,52082400
2015-02-04,35.9277229309082,36.24543849163976,35.515550595881024,36.013590939001745,41614800
2015-02-05,36.45151901245117,36.61466950548646,35.94489000437392,36.254020012780906,36548200
2015-02-06,36.41716003417969,36.74346420207645,36.19390135655745,36.649007473817946,34616600
2015-02-09,36.374237060546875,36.700541327207034,36.24543179654436,36.27119481473722,31381100
2015-02-10,36.58030319213867,36.72628263644988,36.219653874991494,36.70052290684002,29670700
2015-02-11,36.39141082763672,36.62325833434951,36.24543131200842,36.62325833434951,38262500
2015-02-12,37.00107192993164,37.00107192993164,36.50302854644705,36.63183377339044,33268800
2015-02-13,37.670867919921875,37.670867919921875,37.052611073678364,37.250110106917,40264900
2015-02-17,37.688167572021484,38.051383742422686,37.35089117226392,38.02544067281293,33695700
2015-02-18,37.64493179321289,37.791950246197075,37.52385971367694,37.7314142064291,27111700
2015-02-19,37.61896896362305,37.64491202448088,37.229806555930494,37.34223198458946,27603400
2015-02-20,37.93030548095703,37.94760195752288,37.437367445209894,37.627622089503056,29721100
2015-02-23,38.181095123291016,38.215684773544005,37.748693154959135,37.79193269199928,32518800
2015-02-24,38.12919998168945,38.310807989403635,37.98218161904126,38.181089397735526,25271700
2015-02-25,38.042720794677734,38.129199855503614,37.87840596055798,38.008127850761504,29759800
2015-02-26,38.10326385498047,38.250278945409256,37.95624546558636,38.04272784139623,28957300
2015-02-27,37.921661376953125,38.22434481457198,37.757349772965355,38.16380878684143,33807700
2015-03-02,37.94759750366211,38.21568461155376,37.66221062226948,37.76598617051898,31924000
2015-03-03,37.4286994934082,37.904344121996964,37.2643879937819,37.67084674949811,31748600
2015-03-04,37.23844528198242,37.36816384636047,37.08278036555754,37.19520246155905,25748700
2015-03-05,37.28170394897461,37.39412940167476,37.030909977168776,37.24711099445676,23193500
2015-03-06,36.633094787597656,37.28169773129035,36.45148675511535,37.18656877171433,36248800
2015-03-09,37.05683517456055,37.298982440455006,36.48606489610753,36.48606489610753,32108000
2015-03-10,36.34770584106445,36.93577274047484,36.34770584106445,36.62444281737934,39159700
2015-03-11,36.30447006225586,36.64174308084045,36.18339803496553,36.58985695426763,32215300
2015-03-12,35.47426223754883,36.01908970831561,35.33589372263599,35.74235267848992,59992500
2015-03-13,35.78559494018555,35.863427441923854,35.11969538063913,35.197527882377436,58007700
2015-03-16,35.941246032714844,36.01042861916873,35.699098732714766,35.86341356110135,35273500
2015-03-17,36.06233215332031,36.174757611662855,35.586690551208456,35.77694521267367,31673400
2015-03-18,36.75416946411133,37.039556363453706,35.74235038236742,35.82882946152034,44194800
2015-03-19,36.57257080078125,36.83201140376191,36.5120347700513,36.54662443120681,33879100
2015-03-20,37.082794189453125,37.16927326460989,36.74552117779037,36.80605719019316,71904500
2015-03-23,37.065494537353516,37.29899197901956,36.99630864398655,37.08279101069525,26246100
2015-03-24,37.10009765625,37.3335918629712,36.97037572010189,36.99631878774516,25513300
2015-03-25,35.854766845703125,37.126029561455304,35.8374703728194,37.117379675531,43469900
2015-03-26,35.63856506347656,35.98448791526562,35.38777116087773,35.64721494920193,37495600
2015-03-27,35.43101119995117,35.8288201388897,35.30993920105376,35.56072978492789,34401400
2015-03-30,35.4223747253418,35.9239626809136,35.379135180646315,35.54344677007546,35049700
2015-03-31,35.16292953491211,35.482906082346474,35.05915398149441,35.26670508832981,34887200
2015-04-01,35.214820861816406,35.249410515512366,34.860251344449864,35.1110420038319,36865300
2015-04-02,34.842960357666016,35.232122889007044,34.69594193517449,35.16293697278372,37487500
2015-04-06,35.93259811401367,36.13150259703021,34.74781780258265,34.88618628202741,39223700
2015-04-07,35.915306091308594,36.24393250781565,35.72505147035413,35.984491989084894,28809400
2015-04-08,35.82017135620117,36.05366877510252,35.49154829164192,35.854764299512034,24753400
2015-04-09,35.872074127197266,35.993146174898655,35.673169577549864,35.673169577549864,25723900
2015-04-10,36.079627990722656,36.27853253720204,35.81153753296393,36.001795490016306,28022000
2015-04-13,36.11421203613281,36.37365586415332,35.794235493596915,35.80288538064577,30276700
2015-04-14,36.01909255981445,36.347715746894835,35.79424164342695,36.14881119714643,24244400
2015-04-15,36.546607971191406,36.71956939493484,36.0450234711967,36.114206061315215,27343600
2015-04-16,36.46013259887695,36.615797566104185,36.16609913844387,36.278524570100224,22509700
2015-04-17,35.993141174316406,36.09692002847019,35.59533213028982,36.036380714064435,42387600
2015-04-20,37.108734130859375,37.3335816867334,36.045025760870196,36.08826529481155,46057700
2015-04-21,36.875240325927734,37.31629219294067,36.78011136249493,37.18657027935679,26013800
2015-04-22,37.177921295166016,37.298993313926324,36.797405465959244,36.901181010758776,25064300
2015-04-23,37.48060607910156,37.714103558635216,37.01361112003426,37.09144361321215,46309500
2015-04-24,41.398170471191406,41.631667969148424,39.4783076529322,39.48695424220509,130933700
2015-04-27,41.53653335571289,41.62301573153468,40.836044255865616,40.84469084396513,59248200
2015-04-28,42.513763427734375,42.55700296684254,41.25115041157004,41.32033301435002,60730800
2015-04-29,42.42728805541992,42.64348906881063,41.942996597797105,42.13325454524993,47804600
2015-04-30,42.064056396484375,42.84238113777845,42.02946345265693,42.11594581222555,64725500
2015-05-01,42.08135986328125,42.27161778699273,41.85651228895743,42.012177263091324,38937300
2015-05-04,41.71814727783203,42.26297143389031,41.66625784912697,41.83056942491138,34039500
2015-05-05,41.1646728515625,41.648964323556626,40.913882175800985,41.35493080466122,50369200
2015-05-06,40.023128509521484,41.311687935399355,39.798280918565226,41.138726473682354,52433000
2015-05-07,40.3863410949707,40.72361407398255,39.919346216816635,40.01447516965894,32971700
2015-05-08,41.29438018798828,41.49328466003373,41.09547571594283,41.12141877348128,35364900
2015-05-11,40.965755462646484,41.432750310733944,40.965755462646484,41.12142041200897,24609400
2015-05-12,40.94847869873047,41.23386567623735,40.1442105062591,40.516076586604626,29928300
2015-05-13,41.190616607666016,41.78733019690026,41.138727178572175,41.674904750013035,34184600
2015-05-14,42.13324737548828,42.21972644654226,41.536530568734456,41.536530568734456,32980900
2015-05-15,41.77002716064453,42.29755806053829,41.553826188489055,42.26296511324181,28642700
2015-05-18,41.51923751831055,41.700848860843315,41.17331790660578,41.493294454648165,24136500
2015-05-19,41.41477966308594,41.61497680469493,41.06660870004153,41.397370782893276,28574800
2015-05-20,41.41477966308594,41.71942676544651,41.144947000706296,41.24939696145787,25047900
2015-05-21,41.275516510009766,41.43219314128292,40.91864269886646,41.1536576457762,22410700
2015-05-22,40.82289505004883,41.21458327165361,40.7532595224006,41.17106272707582,25720600
2015-05-26,40.55307388305664,40.80549776189368,40.204902786701716,40.76197720495073,29581900
